Modelo,Maquina,Portal,Posicao,Divisao,Codigo1,Codigo Alternativo
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,3,13,2013,000.13335.03030,000.13335.03030
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,3,13,2015,001.23473.53330,001.23473.53330
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,3,13,2017,001.23473.51030,001.23473.51030
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,3,19,2019,000.15336.03940,000.15336.03940
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,3,19,2021,001.24435.14750,001.24435.14750
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,3,19,2023,000.14330.00000,000.14330.00000
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,3,25,2027,001.23472.51020,001.23472.51020
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,3,25,2029,000.13333.01010,000.13333.01010
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,3,31,2031,002.02110.01700,002.02175.05101
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,4,19,2019,000.13333.01010,000.13333.01010
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,4,19,2021,000.13336.01040,000.13336.01040
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,4,19,2023,000.15336.03940,000.15336.03940
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,4,25,2025,002.03310.01800,002.03324.00400
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,1,43,2043,002.00403.09101,002.00403.09100
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,1,49,2049,002.00123.09100,002.00123.09100
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,1,49,2051,000.12333.01010,000.12333.01010
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,1,49,2053,000.13333.01010,000.13333.01010
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,1,55,2055,000.13332.01000,000.13332.01000
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,1,55,2057,000.13330.00000,000.13330.00000
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,1,55,2059,001.23474.51040,001.23474.51040
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,2,49,2049,000.13333.02410,000.13333.02410
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,2,49,2051,000.13334.01520,000.13334.01520
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,2,49,2053,002.00410.09100,002.00410.09100
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,552,0,55,2055,001.23473.51530,001.23473.51530
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,552,0,57,2057,001.23474.51040,001.23474.51040
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,2,55,2059,001.23475.21050,001.23475.11050
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D4i,2,61,2061,010.01000.07601,010.00032.76800
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D1i,1,01,1001,002.04198.02100,002.04198.02100
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D1i,1,61,1061,002.00031.09201,002.00031.09201
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D1i,1,67,1067,002.00280.97000,002.00028.09601
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D1i,1,73,1073,000.13330.00000,000.13330.00000
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D1i,1,73,1075,000.13335.01030,000.13335.01030
DOW1110LA_820.14001.00001_LED-ON_COM_PIMA,D1i,1,73,1077,001.24435.14750,001.24435.14750
