Modelo,Maquina,Portal,Posicao,Divisao,Codigo1,Codigo Alternativo
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,1,07,2009,001.23474.51040,001.23474.51040
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,1,13,2013,002.02992.04000,002.02992.04000
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,1,19,2019,002.00280.97000,002.00280.97000
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,1,25,2025,002.00030.09101,002.00030.09101
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,1,31,2031,001.23472.53320,001.23472.53320
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,1,31,2035,000.14333.01010,000.14333.01010
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,1,37,2037,000.13335.01030,000.13335.01030
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,1,37,2039,000.13334.01520,000.13334.01520
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,1,37,2041,000.13333.02410,000.13333.02410
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,1,43,2043,000.12335.03330,000.12335.03330
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,1,43,2047,000.01230.00000,000.01230.00000
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,2,49,2049,000.12335.01030,000.12335.01030
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,2,49,2051,000.12334.01020,000.12334.01020
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,2,49,2053,002.00123.09103,002.00123.09103
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,2,55,2055,000.14335.01030,000.14335.01030
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,2,55,2057,000.15336.01540,000.15336.01540
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,2,55,2059,001.23475.21050,001.23475.21050
OE2_BI_820.09001.00101_FullRanger_PIMA,D1i,1,01,1001,002.04133.01600,002.04133.01600
OE2_BI_820.09001.00101_FullRanger_PIMA,D1i,1,67,1067,000.15336.01540,000.15336.01540
OE2_BI_820.09001.00101_FullRanger_PIMA,D1i,1,67,1071,001.23381.54710,001.23381.54710
OE2_BI_820.09001.00101_FullRanger_PIMA,D1i,1,73,1073,002.00280.96002,002.00280.96002
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,4,25,2027,001.23474.51040,001.23474.51040
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,4,25,2029,001.22474.11040,001.22474.11040
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,4,31,2031,001.23473.51030,001.23473.51030
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,4,31,2033,001.23435.14750,001.23435.14750
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,4,31,2035,001.23381.54710,001.23381.54710
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,4,31,2031,002.00031.09201,002.00031.09201
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,4,37,2037,002.00403.09101,002.00403.09101
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,3,13,2013,000.12333.01011,000.12333.01011
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,3,13,2017,000.12335.01030,000.12335.01030
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,3,19,2019,001.22381.51010,001.22381.51010
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,3,19,2021,000.12336.04740,000.12336.04740
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,3,19,2023,001.22474.11040,001.22474.11040
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,3,25,2025,002.03324.01600,002.03324.01600
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,3,31,2031,002.02175.03400,002.02175.03400
OE2_BI_820.09001.00101_FullRanger_PIMA,D4i,3,37,2037,000.12334.01520,000.12334.01520
